"","Predicted_Prob","Actual_Labels"
"1",0.0487528587719789,0
"2",0.0432146761063324,0
"3",0.198630075910225,0
"4",0.858008871342249,0
"5",0.0406273710843115,0
"6",0.209989074324283,0
"7",0.164069442260966,0
"8",0.375445082926686,1
"9",0.0353412446614113,0
"10",0.271838888345053,0
"11",0.0582626991635472,0
"12",0.0228027556318336,0
"13",0.058816972288286,0
"14",0.368444784016235,0
"15",0.0940833318506751,0
"16",0.307717768559474,0
"17",0.0562755761651353,0
"18",0.177791462186221,0
"19",0.387795800860271,1
"20",0.477164294939138,0
"21",0.0317537385967092,0
"22",0.130016092431581,0
"23",0.0420173297209334,0
"24",0.0611892252999495,0
"25",0.0731534998534349,0
"26",0.414164970350013,1
"27",0.00968355570668638,0
"28",0.0806064693078209,0
"29",0.0159318838331566,0
"30",0.0496796209376463,0
"31",0.185833334686198,0
"32",0.595377008988271,1
"33",0.299076599050579,0
"34",0.0215655943143987,0
"35",0.0679269606884922,0
"36",0.100127312323674,0
"37",0.214548585612979,0
"38",0.0485969713935358,0
"39",0.118571665376041,0
"40",0.0254511604748408,0
"41",0.0455499779923611,0
"42",0.00896193808639387,0
"43",0.225480201683569,0
"44",0.136112511256131,0
"45",0.0531017897073953,0
"46",0.0186608351393216,0
"47",0.112242575535866,0
"48",0.249933098720092,1
"49",0.785698359687052,1
"50",0.0343694443134127,0
"51",0.0284859555985604,0
"52",0.282203370986518,0
"53",0.361649911391534,0
"54",0.094442008047936,0
"55",0.438680109290053,1
"56",0.110098011654975,0
"57",0.0383067495490729,0
"58",0.401309825412234,0
"59",0.15334037764117,0
"60",0.012536617098034,0
"61",0.129593085188171,0
"62",0.278906017630021,0
"63",0.0841761959370835,0
"64",0.0974976623580976,0
"65",0.0962089308010466,0
"66",0.367713101041491,0
"67",0.159215797722723,0
"68",0.421635516890399,1
"69",0.0631422208317757,0
"70",0.0347992826673246,0
"71",0.0999777144545009,0
"72",0.142332183446428,0
"73",0.0597482695621649,0
"74",0.0412307439966028,0
"75",0.137830409883892,0
"76",0.0182376521597606,0
"77",0.0308913342944142,0
